StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Gender,Age,check,check_7_TEXT,1A_acceptance,2B_acceptance,3A_acceptance,4B_acceptance,5A_acceptance,6B_acceptance,7A_acceptance,8B_acceptance,9A_acceptance,10B_acceptance,11A_acceptance,12B_acceptance,13A_acceptance,14B_acceptance,15A_acceptance,16B_acceptance,17A_acceptance,18B_acceptance,1B_acceptance,2A_acceptance,3B_acceptance,4A_acceptance,5B_acceptance,6A_acceptance,7B_acceptance,8A_acceptance,9B_acceptance,10A_acceptance,11B_acceptance,12A_acceptance,13B_acceptance,14A_acceptance,15B_acceptance,16A_acceptance,17B_acceptance,18A_acceptance,serious
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"If you would like to take part in this study, please read the statement below and click ""I agree"".    I understand the nature of the study, and what is required from me.  I understand that after I participate I will receive a debrief providing me with information about the study and contact details for the researcher.  I understand I am free to withdraw from the study at any time, without having to give a reason for withdrawing, and without prejudice. I agree to provide information to the investigator and understand that my contribution will remain confidential.",Please select your gender,Please enter your age,"Below is a list of hobbies. If you are reading these instructions, please write ""I read the instructions"" in the ""Other"" box. - Selected Choice","Below is a list of hobbies. If you are reading these instructions, please write ""I read the instructions"" in the ""Other"" box. - Other - Text",How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,How strongly do you agree that (*) is true?,Please indicate whether or not you responded seriously to the questions in this experiment. (Note that the response to this question is not related to the payment you receive for participating.)
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID67_7_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID26""}","{""ImportId"":""QID29""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID38""}","{""ImportId"":""QID41""}","{""ImportId"":""QID44""}","{""ImportId"":""QID47""}","{""ImportId"":""QID50""}","{""ImportId"":""QID53""}","{""ImportId"":""QID56""}","{""ImportId"":""QID59""}","{""ImportId"":""QID62""}","{""ImportId"":""QID65""}","{""ImportId"":""QID71""}","{""ImportId"":""QID74""}","{""ImportId"":""QID77""}","{""ImportId"":""QID80""}","{""ImportId"":""QID83""}","{""ImportId"":""QID86""}","{""ImportId"":""QID89""}","{""ImportId"":""QID92""}","{""ImportId"":""QID95""}","{""ImportId"":""QID98""}","{""ImportId"":""QID101""}","{""ImportId"":""QID104""}","{""ImportId"":""QID107""}","{""ImportId"":""QID110""}","{""ImportId"":""QID113""}","{""ImportId"":""QID116""}","{""ImportId"":""QID119""}","{""ImportId"":""QID122""}","{""ImportId"":""QID68""}"
2019-01-07 11:27:08,2019-01-07 11:30:51,0,171.7.85.187,100,222,1,2019-01-07 11:30:51,R_DNd2bvLJkaJATrb,,,,,13.6667022705078125,100.58331298828125,anonymous,EN,1,2,50,7,I read the instructions,,,,,,,,,,,,,,,,,,,3,6,,,,,2,6,,,,,1,4,5,4,2,2,1
2019-01-07 11:28:39,2019-01-07 11:32:13,0,47.196.125.166,100,213,1,2019-01-07 11:32:13,R_2uyAzYBDFSIQUFY,,,,,27.9055938720703125,-82.2881011962890625,anonymous,EN,1,1,31,7,I read the instructions,,,,,,,,,,,,,,,,,,,6,7,1,1,,2,,7,,,,,2,4,,,5,6,1
2019-01-07 11:27:22,2019-01-07 11:33:30,0,171.49.128.42,100,368,1,2019-01-07 11:33:31,R_1BQN04snUj6VpOj,,,,,21.233306884765625,81.63330078125,anonymous,EN,1,1,36,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,7,7,6,6,2,,6,7,7,5,,,3,,,,1
2019-01-07 11:28:16,2019-01-07 11:33:39,0,122.164.33.169,100,323,1,2019-01-07 11:33:40,R_1rq85TpQ1IDw9bZ,,,,,13.0832977294921875,80.283294677734375,anonymous,EN,1,1,28,7,"I read the instructions ",5,,,4,5,5,4,,5,1,,6,,,,,6,4,,,,,,,,,,,,,,,,,,,1
2019-01-07 11:29:57,2019-01-07 11:34:12,0,69.180.87.6,100,255,1,2019-01-07 11:34:12,R_qwpiY3ZjE1PWPwl,,,,,30.1636962890625,-81.72910308837890625,anonymous,EN,1,2,45,7,I read the instructions,,,,,,,,,,,,,,,,,,,,3,,,1,4,,,2,7,3,1,,,,5,3,4,1
2019-01-07 11:32:58,2019-01-07 11:34:36,0,103.49.206.202,100,97,1,2019-01-07 11:34:36,R_3EbCdHEo2kArYuY,,,,,15.5,80.04998779296875,anonymous,EN,1,2,25,4,,,4,5,,,,4,3,,6,5,,7,4,,,5,5,,,,,,,,,,,,,,,,,,,2
2019-01-07 11:28:15,2019-01-07 11:34:39,0,73.230.7.68,100,384,1,2019-01-07 11:34:40,R_1dyHGeZC0tDLxp7,,,,,40.155303955078125,-76.60250091552734375,anonymous,EN,1,2,41,7,I read the instructions,,1,6,3,,2,,6,2,,3,,6,5,6,,,,,,,,,,,,,,,,,,,,,,1
2019-01-07 11:26:59,2019-01-07 11:36:52,0,23.235.227.106,100,592,1,2019-01-07 11:36:52,R_1jquH9CQzYyiRBB,,,,,33.422698974609375,-111.9261016845703125,anonymous,EN,1,2,37,7,"i read the instructios in the 'other """,,1,1,1,7,1,,7,1,,2,,7,,,7,,,,,,,,,,,,,,,,,,,,,1
