StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Gender,Age,check,check_7_TEXT,1A_acceptance,2B_acceptance,3A_acceptance,4B_acceptance,5A_acceptance,6B_acceptance,7A_acceptance,8B_acceptance,9A_acceptance,10B_acceptance,11A_acceptance,12B_acceptance,13A_acceptance,14B_acceptance,15A_acceptance,16B_acceptance,17A_acceptance,18B_acceptance,1B_acceptance,2A_acceptance,3B_acceptance,4A_acceptance,5B_acceptance,6A_acceptance,7B_acceptance,8A_acceptance,9B_acceptance,10A_acceptance,11B_acceptance,12A_acceptance,13B_acceptance,14A_acceptance,15B_acceptance,16A_acceptance,17B_acceptance,18A_acceptance,serious
2019-01-07 11:27:08,2019-01-07 11:30:51,0,171.7.85.187,100,222,1,2019-01-07 11:30:51,R_DNd2bvLJkaJATrb,NA,NA,NA,NA,13.6667022705078125,100.58331298828125,anonymous,EN,1,2,50,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,2,6,NA,NA,NA,NA,1,4,5,4,2,2,1
2019-01-07 11:28:39,2019-01-07 11:32:13,0,47.196.125.166,100,213,1,2019-01-07 11:32:13,R_2uyAzYBDFSIQUFY,NA,NA,NA,NA,27.9055938720703125,-82.2881011962890625,anonymous,EN,1,1,31,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,1,1,NA,2,NA,7,NA,NA,NA,NA,2,4,NA,NA,5,6,1
2019-01-07 11:27:22,2019-01-07 11:33:30,0,171.49.128.42,100,368,1,2019-01-07 11:33:31,R_1BQN04snUj6VpOj,NA,NA,NA,NA,21.233306884765625,81.63330078125,anonymous,EN,1,1,36,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,6,2,NA,6,7,7,5,NA,NA,3,NA,NA,NA,1
2019-01-07 11:28:16,2019-01-07 11:33:39,0,122.164.33.169,100,323,1,2019-01-07 11:33:40,R_1rq85TpQ1IDw9bZ,NA,NA,NA,NA,13.0832977294921875,80.283294677734375,anonymous,EN,1,1,28,7,I read the instructions,5,NA,NA,4,5,5,4,NA,5,1,NA,6,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019-01-07 11:29:57,2019-01-07 11:34:12,0,69.180.87.6,100,255,1,2019-01-07 11:34:12,R_qwpiY3ZjE1PWPwl,NA,NA,NA,NA,30.1636962890625,-81.72910308837890625,anonymous,EN,1,2,45,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,4,NA,NA,2,7,3,1,NA,NA,NA,5,3,4,1
2019-01-07 11:28:15,2019-01-07 11:34:39,0,73.230.7.68,100,384,1,2019-01-07 11:34:40,R_1dyHGeZC0tDLxp7,NA,NA,NA,NA,40.155303955078125,-76.60250091552734375,anonymous,EN,1,2,41,7,I read the instructions,NA,1,6,3,NA,2,NA,6,2,NA,3,NA,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019-01-07 11:26:59,2019-01-07 11:36:52,0,23.235.227.106,100,592,1,2019-01-07 11:36:52,R_1jquH9CQzYyiRBB,NA,NA,NA,NA,33.422698974609375,-111.9261016845703125,anonymous,EN,1,2,37,7,"i read the instructios in the 'other """,NA,1,1,1,7,1,NA,7,1,NA,2,NA,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019-01-07 11:36:45,2019-01-07 11:38:27,0,185.230.126.121,100,102,1,2019-01-07 11:38:27,R_3nqJcLKl999qZdA,NA,NA,NA,NA,34.0493927001953125,-118.26409912109375,anonymous,EN,1,1,40,7,I read the instructions,7,NA,7,6,7,7,7,NA,7,NA,NA,NA,7,NA,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019-01-07 11:31:39,2019-01-07 11:39:10,0,66.160.201.62,100,450,1,2019-01-07 11:39:10,R_77lEI6j1lEN7g6l,NA,NA,NA,NA,37.751007080078125,-97.82199859619140625,anonymous,EN,1,2,31,7,I read the instructions,7,7,7,NA,NA,7,NA,7,NA,7,NA,1,NA,NA,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2019-01-07 11:37:29,2019-01-07 11:40:39,0,172.56.42.75,100,190,1,2019-01-07 11:40:39,R_24zJSKnVAznYoHj,NA,NA,NA,NA,47.3202972412109375,-122.31169891357421875,anonymous,EN,1,1,35,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,4,NA,4,NA,4,6,NA,1,NA,1,4,NA,NA,NA,4,1
