P.s,Item,Cond,Antecedent,Consequent,spillover,Fit
1,1,1,0,0,0,High
1,2,2,0,0,0,Low
1,3,1,0,0,0,High
1,4,2,0,0,0,Low
1,5,1,0,0,0,High
1,6,2,0,0,0,Low
1,7,1,0,0,0,High
1,8,2,0,0,0,Low
1,9,1,0,0,0,High
1,10,2,0,0,0,Low
1,11,1,0,0,0,High
1,12,2,0,0,0,Low
1,13,1,0,0,0,High
1,14,2,0,0,0,Low
1,15,1,0,0,0,High
1,16,2,0,0,0,Low
1,17,1,0,0,0,High
1,18,2,0,0,0,Low
2,1,2,0,0,0,Low
2,2,1,0,0,0,High
2,3,2,0,0,0,Low
2,4,1,0,0,0,High
2,5,2,0,0,0,Low
2,6,1,0,0,0,High
2,7,2,1,0,0,Low
2,8,1,0,0,0,High
2,9,2,0,0,0,Low
2,10,1,0,0,0,High
2,11,2,0,0,0,Low
2,12,1,0,0,0,High
2,13,2,0,0,0,Low
2,14,1,0,0,0,High
2,15,2,0,0,0,Low
2,16,1,0,0,0,High
2,17,2,0,0,0,Low
2,18,1,0,0,0,High
3,1,1,0,0,0,High
3,2,2,0,1,0,Low
3,3,1,0,1,0,High
3,4,2,0,0,0,Low
3,5,1,0,0,0,High
3,6,2,0,0,0,Low
3,7,1,0,0,0,High
3,8,2,0,0,0,Low
3,9,1,0,0,0,High
3,10,2,1,0,0,Low
3,11,1,0,0,0,High
3,12,2,1,1,0,Low
3,13,1,0,0,0,High
3,14,2,0,0,0,Low
3,15,1,0,0,0,High
3,16,2,0,0,0,Low
3,17,1,0,0,0,High
3,18,2,1,0,0,Low
4,1,2,0,0,0,Low
4,2,1,0,0,0,High
4,3,2,0,0,0,Low
4,4,1,0,0,0,High
4,5,2,0,0,0,Low
4,6,1,0,0,0,High
4,7,2,0,0,0,Low
4,8,1,0,0,0,High
4,9,2,1,0,0,Low
4,10,1,0,0,0,High
4,11,2,0,1,0,Low
4,12,1,0,0,0,High
4,13,2,0,0,0,Low
4,14,1,0,0,0,High
4,15,2,0,0,0,Low
4,16,1,0,0,0,High
4,17,2,0,0,0,Low
4,18,1,0,0,0,High
5,1,1,0,0,0,High
5,2,2,0,0,0,Low
5,3,1,0,0,0,High
5,4,2,0,0,0,Low
5,5,1,1,0,0,High
5,6,2,0,0,0,Low
5,7,1,1,0,0,High
5,8,2,0,0,0,Low
5,9,1,0,0,0,High
5,10,2,0,0,0,Low
5,11,1,0,0,0,High
5,12,2,0,0,0,Low
5,13,1,0,0,0,High
5,14,2,0,0,0,Low
5,15,1,1,0,0,High
5,16,2,1,0,0,Low
5,17,1,0,0,0,High
5,18,2,0,0,0,Low
6,1,2,0,0,0,Low
6,2,1,1,1,0,High
6,3,2,0,0,0,Low
6,4,1,0,0,0,High
6,5,2,0,0,0,Low
6,6,1,0,0,0,High
6,7,2,0,0,0,Low
6,8,1,0,0,0,High
6,9,2,0,0,0,Low
6,10,1,0,0,0,High
6,11,2,0,0,0,Low
6,12,1,0,0,0,High
6,13,2,0,0,0,Low
6,14,1,0,0,0,High
6,15,2,0,0,0,Low
6,16,1,1,0,0,High
6,17,2,1,0,0,Low
6,18,1,0,0,0,High
7,1,1,0,0,0,High
7,2,2,0,0,0,Low
7,3,1,0,0,0,High
7,4,2,0,0,0,Low
7,5,1,0,0,0,High
7,6,2,1,0,0,Low
7,7,1,0,0,0,High
7,8,2,0,0,0,Low
7,9,1,0,1,0,High
7,10,2,0,0,0,Low
7,11,1,0,0,0,High
7,12,2,0,0,0,Low
7,13,1,1,0,0,High
7,14,2,0,0,0,Low
7,15,1,0,0,0,High
7,16,2,1,0,0,Low
7,17,1,0,0,0,High
7,18,2,0,0,0,Low
8,1,2,0,0,0,Low
8,2,1,0,0,0,High
8,3,2,0,0,0,Low
8,4,1,0,0,0,High
8,5,2,0,0,0,Low
8,6,1,0,0,0,High
8,7,2,0,0,0,Low
8,8,1,0,0,0,High
8,9,2,0,0,0,Low
8,10,1,0,0,0,High
8,11,2,0,1,0,Low
8,12,1,0,0,0,High
8,13,2,0,0,0,Low
8,14,1,0,0,0,High
8,15,2,0,0,0,Low
8,16,1,0,0,0,High
8,17,2,0,0,0,Low
8,18,1,0,0,0,High
9,1,1,0,0,0,High
9,2,2,0,0,0,Low
9,3,1,0,0,0,High
9,4,2,0,0,0,Low
9,5,1,0,0,0,High
9,6,2,0,0,0,Low
9,7,1,0,0,0,High
9,8,2,0,0,0,Low
9,9,1,0,0,0,High
9,10,2,0,0,0,Low
9,11,1,1,0,0,High
9,12,2,0,0,0,Low
9,13,1,0,0,0,High
9,14,2,1,0,0,Low
9,15,1,0,0,0,High
9,16,2,0,1,0,Low
9,17,1,0,0,0,High
9,18,2,0,0,0,Low
10,1,2,0,0,0,Low
10,2,1,1,0,0,High
10,3,2,0,0,0,Low
10,4,1,0,0,0,High
10,5,2,0,0,0,Low
10,6,1,0,0,0,High
10,7,2,1,0,0,Low
10,8,1,0,0,0,High
10,9,2,1,0,0,Low
10,10,1,0,0,0,High
10,11,2,0,0,0,Low
10,12,1,0,0,0,High
10,13,2,1,0,0,Low
10,14,1,0,0,0,High
10,15,2,0,0,0,Low
10,16,1,1,1,0,High
10,17,2,0,0,0,Low
10,18,1,0,0,0,High
11,1,1,0,0,0,High
11,2,2,0,0,0,Low
11,3,1,0,0,0,High
11,4,2,0,0,0,Low
11,5,1,1,0,0,High
11,6,2,0,0,0,Low
11,7,1,0,0,0,High
11,8,2,0,0,0,Low
11,9,1,0,0,0,High
11,10,2,0,0,0,Low
11,11,1,0,0,0,High
11,12,2,0,0,0,Low
11,13,1,0,0,0,High
11,14,2,0,0,0,Low
11,15,1,0,0,0,High
11,16,2,0,0,0,Low
11,17,1,0,0,0,High
11,18,2,0,0,0,Low
12,1,2,0,0,0,Low
12,2,1,0,0,0,High
12,3,2,0,1,0,Low
12,4,1,1,1,0,High
12,5,2,0,0,0,Low
12,6,1,0,0,0,High
12,7,2,1,0,0,Low
12,8,1,0,0,0,High
12,9,2,0,0,0,Low
12,10,1,0,0,0,High
12,11,2,0,0,0,Low
12,12,1,0,0,0,High
12,13,2,0,1,0,Low
12,14,1,0,0,0,High
12,15,2,0,0,0,Low
12,16,1,0,0,0,High
12,17,2,0,0,0,Low
12,18,1,0,0,0,High
13,1,1,0,0,0,High
13,2,2,0,0,0,Low
13,3,1,0,0,0,High
13,4,2,0,0,0,Low
13,5,1,1,0,0,High
13,6,2,1,0,0,Low
13,7,1,0,0,0,High
13,8,2,0,0,0,Low
13,9,1,0,0,0,High
13,10,2,0,1,0,Low
13,11,1,0,0,0,High
13,12,2,0,0,0,Low
13,13,1,0,0,0,High
13,14,2,0,0,0,Low
13,15,1,0,0,0,High
13,16,2,0,0,0,Low
13,17,1,0,0,0,High
13,18,2,0,0,0,Low
14,1,2,0,0,0,Low
14,2,1,0,0,0,High
14,3,2,0,0,0,Low
14,4,1,0,0,0,High
14,5,2,1,0,0,Low
14,6,1,0,0,1,High
14,7,2,0,0,0,Low
14,8,1,0,0,0,High
14,9,2,0,0,0,Low
14,10,1,1,0,0,High
14,11,2,1,0,0,Low
14,12,1,0,0,0,High
14,13,2,0,0,0,Low
14,14,1,1,0,0,High
14,15,2,0,0,0,Low
14,16,1,0,0,0,High
14,17,2,0,0,0,Low
14,18,1,0,0,0,High
15,1,1,0,0,0,High
15,2,2,0,0,0,Low
15,3,1,0,1,0,High
15,4,2,0,0,0,Low
