P.s,Item,Cond,Antecedent,Consequent,spillover,Fit,Accepts,Confident
1,1,1,0,0,0,High,5.358974359,5.461538462
3,1,1,0,0,1,High,5.358974359,5.461538462
5,1,1,0,0,1,High,5.358974359,5.461538462
7,1,1,1,0,0,High,5.358974359,5.461538462
9,1,1,0,0,0,High,5.358974359,5.461538462
11,1,1,0,0,0,High,5.358974359,5.461538462
13,1,1,1,0,1,High,5.358974359,5.461538462
15,1,1,0,0,1,High,5.358974359,5.461538462
17,1,1,0,0,0,High,5.358974359,5.461538462
19,1,1,0,0,0,High,5.358974359,5.461538462
21,1,1,0,0,0,High,5.358974359,5.461538462
23,1,1,0,0,0,High,5.358974359,5.461538462
2,1,2,0,0,0,Low,4.261904762,5.19047619
4,1,2,1,0,0,Low,4.261904762,5.19047619
6,1,2,0,0,1,Low,4.261904762,5.19047619
8,1,2,0,0,0,Low,4.261904762,5.19047619
10,1,2,0,0,0,Low,4.261904762,5.19047619
12,1,2,0,0,0,Low,4.261904762,5.19047619
14,1,2,0,0,0,Low,4.261904762,5.19047619
16,1,2,1,0,1,Low,4.261904762,5.19047619
18,1,2,0,0,1,Low,4.261904762,5.19047619
20,1,2,0,0,0,Low,4.261904762,5.19047619
22,1,2,1,0,1,Low,4.261904762,5.19047619
24,1,2,0,0,1,Low,4.261904762,5.19047619
2,2,1,0,0,0,High,5.522727273,5.568181818
4,2,1,1,1,0,High,5.522727273,5.568181818
6,2,1,0,0,1,High,5.522727273,5.568181818
8,2,1,0,0,0,High,5.522727273,5.568181818
10,2,1,0,0,1,High,5.522727273,5.568181818
12,2,1,1,1,0,High,5.522727273,5.568181818
14,2,1,0,0,0,High,5.522727273,5.568181818
16,2,1,1,0,0,High,5.522727273,5.568181818
18,2,1,0,0,0,High,5.522727273,5.568181818
20,2,1,0,0,0,High,5.522727273,5.568181818
22,2,1,0,0,1,High,5.522727273,5.568181818
24,2,1,0,0,1,High,5.522727273,5.568181818
1,2,2,1,0,1,Low,3.684210526,4.868421053
3,2,2,0,0,1,Low,3.684210526,4.868421053
5,2,2,0,0,0,Low,3.684210526,4.868421053
7,2,2,0,1,0,Low,3.684210526,4.868421053
9,2,2,0,0,1,Low,3.684210526,4.868421053
11,2,2,1,0,0,Low,3.684210526,4.868421053
13,2,2,0,0,0,Low,3.684210526,4.868421053
15,2,2,0,0,0,Low,3.684210526,4.868421053
17,2,2,0,0,1,Low,3.684210526,4.868421053
19,2,2,0,0,0,Low,3.684210526,4.868421053
21,2,2,1,0,0,Low,3.684210526,4.868421053
