P.s,Item,Cond,Antecedent,Consequent,spillover,Fit
1,1,1,860,919,1917,High
1,2,2,1501,709,4783,Low
1,3,1,688,1527,3018,High
1,4,2,2107,1106,3848,Low
1,5,1,1533,1188,8017,High
1,6,2,1282,791,2529,Low
1,7,1,792,889,2551,High
1,8,2,1109,901,2502,Low
1,9,1,720,1377,1297,High
1,10,2,1425,2122,2223,Low
1,11,1,1339,636,3797,High
1,12,2,1130,718,5084,Low
1,13,1,840,363,1884,High
1,14,2,1365,655,1470,Low
1,15,1,638,1568,2945,High
1,16,2,1291,1301,11839,Low
1,17,1,1172,615,1528,High
1,18,2,774,630,1512,Low
2,1,2,390,833,1331,Low
2,2,1,233,336,1969,High
2,3,2,171,672,1595,Low
2,4,1,659,1098,2660,High
2,5,2,458,770,2455,Low
2,6,1,677,421,2074,High
2,7,2,376,1405,2220,Low
2,8,1,604,621,1608,High
2,9,2,898,769,1166,Low
2,10,1,427,734,1578,High
2,11,2,771,435,2485,Low
2,12,1,1035,477,2751,High
2,13,2,425,841,2003,Low
2,14,1,972,492,1215,High
2,15,2,206,1816,2262,Low
2,16,1,140,315,4415,High
2,17,2,762,472,1474,Low
2,18,1,283,633,1334,High
3,1,1,814,815,2144,High
3,2,2,517,403,2139,Low
3,3,1,621,475,2562,High
3,4,2,319,584,2228,Low
3,5,1,462,677,998,High
3,6,2,737,390,2614,Low
3,7,1,451,529,1157,High
3,8,2,713,1025,2168,Low
3,9,1,629,1349,997,High
3,10,2,1626,938,2528,Low
3,11,1,504,369,2048,High
3,12,2,309,465,4154,Low
3,13,1,312,1939,1865,High
3,14,2,578,424,1327,Low
3,15,1,351,510,3915,High
3,16,2,282,414,3653,Low
3,17,1,518,326,1927,High
3,18,2,373,1042,1052,Low
4,1,2,1772,600,2333,Low
4,2,1,994,992,2743,High
4,3,2,690,660,2966,Low
4,4,1,613,1284,4175,High
4,5,2,1249,1729,2005,Low
4,6,1,1080,606,1409,High
4,7,2,590,624,2271,Low
4,8,1,1284,1209,3610,High
4,9,2,726,1811,3087,Low
4,10,1,614,700,4861,High
4,11,2,1184,1450,6248,Low
4,12,1,615,1023,4565,High
4,13,2,511,899,4392,Low
4,14,1,658,562,,High
4,15,2,960,1783,2461,Low
4,16,1,358,637,3563,High
4,17,2,857,749,2641,Low
4,18,1,415,912,2596,High
5,1,1,535,397,2726,High
5,2,2,329,542,2674,Low
5,3,1,378,619,1168,High
5,4,2,758,482,2645,Low
5,5,1,641,1129,3105,High
5,6,2,700,608,1667,Low
5,7,1,673,804,2797,High
5,8,2,352,539,1327,Low
5,9,1,562,992,1356,High
5,10,2,600,1182,1575,Low
5,11,1,627,495,1794,High
5,12,2,403,1027,3976,Low
5,13,1,1101,338,2075,High
5,14,2,554,1102,985,Low
5,15,1,1228,1430,1825,High
5,16,2,796,1773,2500,Low
5,17,1,612,437,841,High
5,18,2,397,481,1977,Low
6,1,2,422,596,3330,Low
6,2,1,767,507,5603,High
6,3,2,337,623,4546,Low
6,4,1,719,,6917,High
6,5,2,595,419,1628,Low
6,6,1,905,510,1859,High
6,7,2,1110,565,2350,Low
6,8,1,600,517,1355,High
6,9,2,1054,2082,2286,Low
6,10,1,651,1091,5724,High
6,11,2,1194,619,2178,Low
6,12,1,597,687,1863,High
6,13,2,887,755,8380,Low
6,14,1,543,497,1466,High
6,15,2,691,786,9163,Low
6,16,1,768,985,6566,High
6,17,2,1220,1206,1218,Low
6,18,1,600,470,1057,High
7,1,1,3941,527,1130,High
7,2,2,,2355,3006,Low
7,3,1,,2685,3272,High
7,4,2,1390,1024,2632,Low
7,5,1,1184,1239,2733,High
7,6,2,1340,3545,1968,Low
7,7,1,747,1269,2221,High
7,8,2,877,743,2626,Low
7,9,1,2241,863,3280,High
7,10,2,979,2260,2220,Low
7,11,1,741,827,3553,High
7,12,2,628,1103,1991,Low
7,13,1,,2286,3453,High
7,14,2,1402,725,1263,Low
7,15,1,1932,1160,2598,High
7,16,2,,3993,3330,Low
7,17,1,1807,417,1736,High
7,18,2,1298,1892,2073,Low
8,1,2,795,739,1329,Low
8,2,1,735,404,2796,High
8,3,2,597,790,2450,Low
8,4,1,565,1527,3034,High
8,5,2,730,1090,2145,Low
8,6,1,1078,594,2827,High
8,7,2,441,882,2872,Low
8,8,1,977,1056,2418,High
8,9,2,1411,1044,868,Low
8,10,1,1204,1361,1113,High
8,11,2,1149,367,2633,Low
8,12,1,272,395,1436,High
8,13,2,,1520,1979,Low
8,14,1,599,877,1172,High
8,15,2,463,1005,2763,Low
