P.s,Item,Cond,Antecedent,Consequent,spillover,Fit,Accepts,Confident
1,1,1,860,919,1917,High,5.358974359,5.461538462
3,1,1,814,815,2144,High,5.358974359,5.461538462
5,1,1,535,397,2726,High,5.358974359,5.461538462
7,1,1,3941,527,1130,High,5.358974359,5.461538462
9,1,1,476,397,1335,High,5.358974359,5.461538462
11,1,1,181,313,1489,High,5.358974359,5.461538462
13,1,1,2816,2089,2310,High,5.358974359,5.461538462
15,1,1,706,545,2209,High,5.358974359,5.461538462
17,1,1,138,297,1553,High,5.358974359,5.461538462
19,1,1,445,461,1052,High,5.358974359,5.461538462
21,1,1,321,341,956,High,5.358974359,5.461538462
23,1,1,402,735,1081,High,5.358974359,5.461538462
2,1,2,390,833,1331,Low,4.261904762,5.19047619
4,1,2,1772,600,2333,Low,4.261904762,5.19047619
6,1,2,422,596,3330,Low,4.261904762,5.19047619
8,1,2,795,739,1329,Low,4.261904762,5.19047619
10,1,2,585,606,2694,Low,4.261904762,5.19047619
12,1,2,511,679,672,Low,4.261904762,5.19047619
14,1,2,1276,854,3791,Low,4.261904762,5.19047619
16,1,2,1899,2555,3014,Low,4.261904762,5.19047619
18,1,2,646,665,2246,Low,4.261904762,5.19047619
20,1,2,780,339,793,Low,4.261904762,5.19047619
22,1,2,767,678,3222,Low,4.261904762,5.19047619
24,1,2,552,505,1813,Low,4.261904762,5.19047619
2,2,1,233,336,1969,High,5.522727273,5.568181818
4,2,1,994,992,2743,High,5.522727273,5.568181818
6,2,1,767,507,5603,High,5.522727273,5.568181818
8,2,1,735,404,2796,High,5.522727273,5.568181818
10,2,1,526,450,5731,High,5.522727273,5.568181818
12,2,1,266,822,,High,5.522727273,5.568181818
14,2,1,1141,873,5906,High,5.522727273,5.568181818
16,2,1,2412,844,,High,5.522727273,5.568181818
18,2,1,1133,670,2091,High,5.522727273,5.568181818
20,2,1,1200,1132,3462,High,5.522727273,5.568181818
22,2,1,530,574,3161,High,5.522727273,5.568181818
24,2,1,319,478,2271,High,5.522727273,5.568181818
1,2,2,1501,709,4783,Low,3.684210526,4.868421053
3,2,2,517,403,2139,Low,3.684210526,4.868421053
5,2,2,329,542,2674,Low,3.684210526,4.868421053
7,2,2,,2355,3006,Low,3.684210526,4.868421053
9,2,2,1000,1373,2704,Low,3.684210526,4.868421053
11,2,2,938,384,1643,Low,3.684210526,4.868421053
13,2,2,1850,1463,2152,Low,3.684210526,4.868421053
15,2,2,470,344,2993,Low,3.684210526,4.868421053
17,2,2,467,600,2343,Low,3.684210526,4.868421053
19,2,2,377,428,1149,Low,3.684210526,4.868421053
21,2,2,681,516,2225,Low,3.684210526,4.868421053
23,2,2,2257,461,3019,Low,3.684210526,4.868421053
1,3,1,688,1527,3018,High,5.487179487,5.538461538
3,3,1,621,475,2562,High,5.487179487,5.538461538
5,3,1,378,619,1168,High,5.487179487,5.538461538
7,3,1,,2685,3272,High,5.487179487,5.538461538
9,3,1,430,701,1291,High,5.487179487,5.538461538
11,3,1,1483,3182,1074,High,5.487179487,5.538461538
13,3,1,707,1306,4888,High,5.487179487,5.538461538
15,3,1,239,503,1912,High,5.487179487,5.538461538
17,3,1,224,461,1390,High,5.487179487,5.538461538
