P.s,Item,Cond,Antecedent,Consequent,spillover,Fit
1,1,1,860,919,1917,High
1,2,2,1319,709,3328,Low
1,3,1,688,1527,3018,High
1,4,2,1464,1106,3848,Low
1,5,1,1533,1188,2786,High
1,6,2,1282,791,2529,Low
1,7,1,792,889,2551,High
1,8,2,1109,901,2502,Low
1,9,1,720,1377,1297,High
1,10,2,1425,2122,2223,Low
1,11,1,1339,636,3797,High
1,12,2,874,718,2442,Low
1,13,1,840,363,1884,High
1,14,2,1365,655,1470,Low
1,15,1,638,1568,2772,High
1,16,2,2126,1825,2951,Low
1,17,1,1172,615,1528,High
1,18,2,774,630,1373,Low
2,1,2,390,833,1331,Low
2,2,1,233,336,1969,High
2,3,2,171,672,1595,Low
2,4,1,659,1098,1207,High
2,5,2,458,770,2455,Low
2,6,1,677,421,2074,High
2,7,2,1016,765,2220,Low
2,8,1,604,621,1608,High
2,9,2,898,769,1166,Low
2,10,1,427,734,1578,High
2,11,2,771,435,2485,Low
2,12,1,1035,477,2751,High
2,13,2,425,703,2003,Low
2,14,1,972,492,1215,High
2,15,2,206,1816,1692,Low
2,16,1,449,315,3362,High
2,17,2,762,472,1474,Low
2,18,1,283,633,1334,High
3,1,1,1096,815,1293,High
3,2,2,517,575,1967,Low
3,3,1,367,849,2188,High
3,4,2,319,584,2228,Low
3,5,1,462,677,998,High
3,6,2,737,390,1739,Low
3,7,1,451,529,1157,High
3,8,2,713,1025,1884,Low
3,9,1,775,947,997,High
3,10,2,1328,938,1749,Low
3,11,1,504,369,2048,High
3,12,2,534,639,1418,Low
3,13,1,881,841,1748,High
3,14,2,479,424,1327,Low
3,15,1,225,510,3210,High
3,16,2,282,414,2451,Low
3,17,1,518,326,1263,High
3,18,2,785,630,1052,Low
4,1,2,828,600,2333,Low
4,2,1,645,807,2743,High
4,3,2,690,745,2712,Low
4,4,1,613,1284,4175,High
4,5,2,1024,1729,2005,Low
4,6,1,1080,606,1409,High
4,7,2,1239,925,1149,Low
4,8,1,658,1209,3610,High
4,9,2,1560,1811,1945,Low
4,10,1,970,2284,2449,High
4,11,2,1714,2385,3451,Low
4,12,1,615,1023,3810,High
4,13,2,297,899,3378,Low
4,14,1,526,562,695,High
4,15,2,634,1783,2461,Low
4,16,1,484,637,3265,High
4,17,2,857,749,2641,Low
4,18,1,415,912,2596,High
5,1,1,535,397,1121,High
5,2,2,329,542,2674,Low
5,3,1,378,619,1168,High
5,4,2,506,482,1662,Low
5,5,1,895,875,2185,High
5,6,2,700,608,1246,Low
5,7,1,1225,649,1373,High
5,8,2,352,539,1327,Low
5,9,1,850,992,913,High
5,10,2,600,1182,1575,Low
5,11,1,627,495,1794,High
5,12,2,403,684,1369,Low
5,13,1,720,338,1916,High
5,14,2,554,1102,985,Low
5,15,1,1183,1047,1825,High
5,16,2,877,600,1758,Low
5,17,1,612,437,841,High
5,18,2,397,481,1977,Low
6,1,2,422,596,1233,Low
6,2,1,1178,727,3660,High
6,3,2,337,623,1980,Low
6,4,1,719,,2752,High
6,5,2,595,419,1458,Low
6,6,1,905,510,1859,High
6,7,2,866,565,1759,Low
6,8,1,600,517,1355,High
6,9,2,1054,2082,966,Low
6,10,1,651,1091,2249,High
6,11,2,1194,619,1420,Low
6,12,1,597,687,1468,High
6,13,2,498,1503,3081,Low
6,14,1,543,497,1466,High
6,15,2,691,786,2391,Low
6,16,1,932,821,1531,High
6,17,2,1446,571,1050,Low
6,18,1,600,470,916,High
7,1,1,1778,527,1130,High
7,2,2,618,845,3006,Low
7,3,1,682,1269,2417,High
7,4,2,618,1024,2632,Low
7,5,1,750,1239,2733,High
7,6,2,3364,1105,1886,Low
7,7,1,747,1269,2221,High
7,8,2,421,743,2508,Low
7,9,1,702,1126,2757,High
7,10,2,1095,2144,1418,Low
7,11,1,741,827,3553,High
7,12,2,268,1103,1991,Low
7,13,1,921,919,2888,High
7,14,2,529,725,1263,Low
7,15,1,686,1160,2598,High
7,16,2,2014,1268,3201,Low
7,17,1,658,417,1736,High
7,18,2,1046,1054,2073,Low
8,1,2,795,739,1329,Low
8,2,1,735,404,2796,High
8,3,2,597,790,2450,Low
8,4,1,338,1527,3034,High
8,5,2,432,1090,2145,Low
8,6,1,1078,594,2827,High
8,7,2,441,1166,1393,Low
8,8,1,788,1056,2418,High
8,9,2,907,1044,868,Low
8,10,1,1204,1361,1113,High
8,11,2,1149,749,2251,Low
8,12,1,272,395,1436,High
8,13,2,395,876,1653,Low
8,14,1,599,877,1172,High
8,15,2,463,1005,2159,Low
8,16,1,369,638,2732,High
8,17,2,800,410,1037,Low
8,18,1,392,687,1699,High
9,1,1,476,397,1335,High
9,2,2,1000,1373,2590,Low
9,3,1,430,701,1291,High
9,4,2,389,910,1739,Low
9,5,1,569,1101,1959,High
9,6,2,1239,1215,1895,Low
9,7,1,852,795,1627,High
9,8,2,523,696,1455,Low
9,9,1,560,881,1154,High
9,10,2,1280,1123,2463,Low
9,11,1,1549,838,2624,High
9,12,2,819,798,2348,Low
9,13,1,293,501,2310,High
9,14,2,735,663,1279,Low
9,15,1,578,924,2748,High
9,16,2,496,1072,2611,Low
9,17,1,869,449,1657,High
9,18,2,310,787,1947,Low
10,1,2,585,606,2694,Low
10,2,1,832,450,5425,High
10,3,2,473,827,2439,Low
10,4,1,1105,1771,5903,High
10,5,2,654,691,2658,Low
10,6,1,994,1062,3498,High
10,7,2,1992,1015,2469,Low
10,8,1,966,1289,4316,High
10,9,2,2443,3001,2527,Low
10,10,1,816,1153,1274,High
10,11,2,585,496,1999,Low
10,12,1,845,452,2090,High
10,13,2,480,1518,1903,Low
10,14,1,1664,4329,1596,High
10,15,2,926,1734,2975,Low
10,16,1,1173,1161,2978,High
10,17,2,2171,1669,3595,Low
10,18,1,315,471,841,High
11,1,1,181,313,1489,High
11,2,2,586,384,1643,Low
11,3,1,1143,1702,1074,High
11,4,2,263,700,1761,Low
11,5,1,483,632,2193,High
11,6,2,786,799,1460,Low
11,7,1,284,321,830,High
11,8,2,471,502,1203,Low
11,9,1,520,802,1355,High
11,10,2,1657,2098,1476,Low
11,11,1,462,524,1588,High
11,12,2,970,1262,1498,Low
11,13,1,435,182,1342,High
11,14,2,312,791,1756,Low
11,15,1,306,855,2204,High
11,16,2,419,449,1588,Low
11,17,1,649,304,1713,High
11,18,2,459,690,526,Low
12,1,2,511,679,672,Low
12,2,1,87,721,,High
12,3,2,711,871,1224,Low
12,4,1,2243,1316,4884,High
12,5,2,1009,991,706,Low
12,6,1,1543,621,1635,High
12,7,2,1045,1227,2042,Low
12,8,1,697,553,1075,High
12,9,2,367,857,1188,Low
12,10,1,1684,1590,1321,High
12,11,2,1383,687,3439,Low
12,12,1,327,292,1544,High
12,13,2,217,746,2411,Low
12,14,1,906,352,1308,High
12,15,2,,1141,1425,Low
12,16,1,1022,564,2123,High
12,17,2,1068,721,1047,Low
12,18,1,313,200,1470,High
13,1,1,2573,2089,2160,High
13,2,2,1850,1463,2152,Low
13,3,1,551,1306,4888,High
