Item,mean_score
10A_acceptance,5.525
10B_acceptance,4.153846153846154
11A_acceptance,4.818181818181818
11B_acceptance,4.358974358974359
12A_acceptance,5.325
12B_acceptance,3.4166666666666665
13A_acceptance,6.314285714285714
13B_acceptance,4.230769230769231
14A_acceptance,4.512820512820513
14B_acceptance,4.833333333333333
15A_acceptance,5.783783783783784
15B_acceptance,4.421052631578948
16A_acceptance,4.853658536585366
16B_acceptance,3.411764705882353
17A_acceptance,5.805555555555555
17B_acceptance,4.3076923076923075
18A_acceptance,4.538461538461538
18B_acceptance,4.294117647058823
1A_acceptance,5.4
1B_acceptance,3.6842105263157894
2A_acceptance,5.390243902439025
2B_acceptance,4
3A_acceptance,5.3428571428571425
3B_acceptance,3.625
4A_acceptance,4.972972972972973
4B_acceptance,4.285714285714286
5A_acceptance,4.75
5B_acceptance,4.05
6A_acceptance,3.85
6B_acceptance,3.3783783783783785
7A_acceptance,4.96969696969697
7B_acceptance,3.292682926829268
8A_acceptance,5.3
8B_acceptance,4.117647058823529
9A_acceptance,4.84375
9B_acceptance,3.4358974358974357
